"age","std_population"
"Early Neonatal",0.0396232
"Late Neonatal",0.117777
"1 to 5 months",0.864776
"6 to 11 months",1.01009
"12 to 23 months",2.01613
"2 to 4",5.9934
"5 to 9",9.65824
"10 to 14",8.99361
"15 to 19",8.28913
"20 to 24",7.80122
"25 to 29",7.59144
"30 to 34",7.32171
"35 to 39",6.82805
"40 to 44",6.14735
"45 to 49",5.51133
"50 to 54",4.91312
"55 to 59",4.34586
"60 to 64",3.68223
"65 to 69",2.98509
"70 to 74",2.26526
"75 to 79",1.59758
"80 to 84",1.09729
"85 to 89",0.604519
"90 to 94",0.246663
"95 plus",0.0785092
